County,Pop2022,AreaSqMi,Reg_DEM,Reg_REP,Reg_IAP,Reg_LPN,Reg_Other,Reg_NonP,Gov_DEM,Gov_REP,Gov_IAP,Gov_LPN,Gov_None,Sen_DEM,Sen_REP,Sen_IAP,Sen_LPN,Sen_NPP,Sen_None,Turnout
Carson City,58314,156.02,10036,14712,1849,461,571,10436,9822,12721,292,402,428,10337,12451,189,175,234,308,0.6302
Churchill,26564,5023.72,2145,8416,721,169,194,4236,2223,7020,177,198,247,2423,7032,63,99,110,153,0.6248
Clark,2338127,8053,476382,349782,56608,10519,35113,422456,347397,308760,5768,9257,9173,357275,304133,3144,4041,4989,8216,0.5127
Douglas,52674,737.63,7995,21018,1777,446,490,8936,9014,19070,249,382,439,9466,18890,138,173,214,288,0.7182
Elko,56396,17203.13,3540,14754,1333,330,347,8177,2923,12173,375,369,343,3286,12180,153,149,204,219,0.5752
Esmeralda,1068,3589.04,62,359,34,12,9,147,64,338,18,11,22,68,344,5,2,13,22,0.7303
Eureka,1847,4179.98,69,771,72,6,9,253,61,681,18,8,14,73,671,10,2,8,17,0.6664
Humboldt,17921,9657.92,1349,5437,452,89,122,2519,1201,4488,110,151,159,1358,4456,46,45,75,132,0.6148
Lander,6158,5519.53,410,2170,152,34,28,788,316,1678,61,79,74,387,1673,29,23,42,58,0.6239
Lincoln,4971,10637.42,328,1897,138,14,30,484,264,1710,61,55,70,321,1727,14,21,12,62,0.7524
Lyon,60454,2024.33,6943,19728,2329,540,680,13111,5960,16338,353,472,478,6244,16293,200,243,324,312,0.5446
Mineral,4870,3812.94,713,1199,162,27,26,999,613,1138,41,32,69,660,1124,16,17,18,59,0.6081
Nye,51334,18196.12,5943,15493,1868,322,524,10114,5813,13824,402,368,408,5957,13833,213,164,277,379,0.611
Pershing,7344,6067.44,534,1649,134,27,17,842,384,1286,33,26,45,419,1272,11,12,22,41,0.5557
Storey,4427,263.82,647,1775,176,57,40,881,678,1748,41,49,46,721,1728,14,24,28,46,0.7217
Washoe,501635,6542.6,98924,103168,14126,3663,6621,85611,94646,91862,1824,2982,2728,98617,90002,932,1204,1460,2065,0.6402
White Pine,10001,8896.73,821,2793,295,35,44,1332,612,2542,95,78,123,704,2579,31,28,45,64,0.652
